depth(m),cone penetration resistance (qc (MPa)),sleeve friction(kPa),total cone resistance (tc(Mpa)),friction ratio (%),bulk density (kN/m³),effective vertical stress(kPa),pore water pressure (kPa),total vertical stress (kPa),normalised cone resistance(-),normalised cone resistance corrected for overburden (-),normalised friction ratio (%),void ratio,Soil Class
2.07,0.75,12.3,0.74,1.65,19,39.33,9.52,29.81,23.66,13.92,1.74,0.91,Class 4: Clayey silt to silty clay
2.07,0.18,8.3,0.18,4.54,19,39.33,20.31,19.02,7.55,2.83,5.78,1,Class 6: Organic soil / peat
2.08,31.3,109.9,31.3,0.38,19,39.52,20.4,19.12,1635.62,497.02,0.38,0.29,Class 1: Gravelly sand to dense sand
2.08,3.05,6,4.61,0.14,19,39.52,20.4,19.12,238.93,94.82,0.15,0.45,Class 2: Sand to silty sand
2.08,0.74,13.2,0.73,1.8,19,39.52,9.61,29.91,23.19,13.69,1.9,0.92,Class 4: Clayey silt to silty clay
2.09,36.07,117.7,33.82,0.35,19,39.71,20.5,19.21,1758.6,521.09,0.35,0.27,Class 1: Gravelly sand to dense sand
2.09,0.75,13.9,0.74,1.87,19,39.71,9.71,30,23.5,13.91,1.97,0.92,Class 4: Clayey silt to silty clay
2.1,34.08,125.4,34.77,0.34,19,39.9,20.6,19.3,1799.61,530.6,0.34,0.26,Class 1: Gravelly sand to dense sand
2.1,2.85,7,4.46,0.15,19,39.9,20.6,19.3,228.77,92.19,0.15,0.45,Class 2: Sand to silty sand
2.1,0.76,14,0.76,1.85,19,39.9,9.81,30.09,23.81,14.14,1.95,0.92,Class 4: Clayey silt to silty clay
2.11,34.16,110.6,34.2,0.37,19,40.09,20.7,19.39,1761.49,531.16,0.37,0.27,Class 1: Gravelly sand to dense sand
2.11,0.97,13.2,0.96,1.37,19,40.09,9.91,30.18,30.54,18.19,1.43,0.86,Class 4: Clayey silt to silty clay
2.12,34.35,147.7,34.3,0.4,19,40.28,20.8,19.48,1758.49,538.32,0.4,0.28,Class 1: Gravelly sand to dense sand
2.12,2.65,7,4.29,0.16,19,40.28,20.8,19.48,217.96,89.3,0.16,0.46,Class 2: Sand to silty sand
2.12,1.19,13.3,1.18,1.12,19,40.28,10.01,30.27,37.74,22.55,1.16,0.81,Class 3: Silty sand to sandy silt
2.13,34.39,154.8,34.39,0.45,19,40.47,20.9,19.57,1754.79,549.72,0.45,0.29,Class 1: Gravelly sand to dense sand
2.13,1.54,13.2,1.53,0.86,19,40.47,10.1,30.37,48.98,29.36,0.89,0.75,Class 3: Silty sand to sandy silt
2.14,34.43,161.9,34.88,0.46,19,40.66,20.99,19.67,1771.66,558.73,0.46,0.3,Class 1: Gravelly sand to dense sand
2.14,2.5,6,4.14,0.16,19,40.66,20.99,19.67,208.19,86.66,0.16,0.47,Class 2: Sand to silty sand
2.14,2.2,13,2.19,0.59,19,40.66,10.2,30.46,70.59,42.44,0.6,0.66,Class 3: Silty sand to sandy silt
2.15,35.83,168.5,35.86,0.46,19,40.85,21.09,19.76,1813.09,571.74,0.47,0.29,Class 1: Gravelly sand to dense sand
2.16,37.33,169.7,37.82,0.44,19,41.04,21.19,19.85,1903.38,590.99,0.44,0.28,Class 1: Gravelly sand to dense sand
2.16,2.35,7,4,0.14,19,41.04,21.19,19.85,199.44,83.51,0.14,0.47,Class 2: Sand to silty sand
2.17,40.31,157,39.88,0.39,19,41.23,21.29,19.94,1997.64,606.55,0.39,0.27,Class 1: Gravelly sand to dense sand
2.18,41.99,144.3,41.3,0.38,19,41.42,21.39,20.03,2059.44,621.07,0.38,0.26,Class 1: Gravelly sand to dense sand
2.18,2.2,4,3.93,0.13,19,41.42,21.39,20.03,194.18,81.68,0.13,0.47,Class 2: Sand to silty sand
2.19,41.6,172.1,42.33,0.41,19,41.61,21.48,20.13,2101.11,640.59,0.41,0.27,Class 1: Gravelly sand to dense sand
2.19,2.23,13.7,2.22,0.62,19,41.61,10.69,30.92,70.39,42.95,0.63,0.67,Class 3: Silty sand to sandy silt
2.2,43.39,199.9,42.22,0.46,19,41.8,21.58,20.22,2086.29,652.17,0.46,0.28,Class 1: Gravelly sand to dense sand
2.2,2.25,4,4,0.12,19,41.8,21.58,20.22,195.61,82.19,0.12,0.46,Class 2: Sand to silty sand
2.2,2.07,17.8,2.06,0.86,19,41.8,10.79,31.01,65.17,39.89,0.88,0.7,Class 3: Silty sand to sandy silt
2.21,41.67,206.7,42.59,0.5,19,41.99,21.68,20.31,2095.14,666.54,0.5,0.29,Class 1: Gravelly sand to dense sand
2.21,1.92,19.3,1.91,1.01,19,41.99,10.89,31.1,59.99,36.83,1.03,0.73,Class 3: Silty sand to sandy silt
2.22,42.71,227.3,42.76,0.51,19,42.18,21.78,20.4,2093.69,672.65,0.52,0.29,Class 1: Gravelly sand to dense sand
2.22,2.5,6,4.14,0.13,19,42.18,21.78,20.4,201.1,84.7,0.13,0.46,Class 2: Sand to silty sand
2.22,1.67,17.1,1.66,1.03,19,42.18,10.99,31.19,51.85,31.92,1.06,0.75,Class 3: Silty sand to sandy silt
2.23,43.88,226,45.59,0.5,19,42.37,21.88,20.49,2222.28,705.44,0.5,0.28,Class 1: Gravelly sand to dense sand
2.23,1.62,16.7,1.61,1.04,19,42.37,11.09,31.28,50.08,30.93,1.07,0.76,Class 3: Silty sand to sandy silt
2.24,50.16,224.7,48.76,0.43,19,42.56,21.97,20.59,2366.59,728.38,0.43,0.26,Class 1: Gravelly sand to dense sand
2.24,2.6,6,4.29,0.15,19,42.56,21.97,20.59,206.49,87.42,0.15,0.46,Class 2: Sand to silty sand
2.24,1.56,16.9,1.55,1.09,19,42.56,11.18,31.38,48.2,29.85,1.12,0.77,Class 3: Silty sand to sandy silt
2.25,52.24,182.4,52.3,0.38,19,42.75,22.07,20.68,2527.14,755.88,0.38,0.24,Class 1: Gravelly sand to dense sand
2.25,1.59,17.1,1.58,1.08,19,42.75,11.28,31.47,48.85,30.34,1.11,0.76,Class 3: Silty sand to sandy silt
2.26,54.5,193.2,53.59,0.36,19,42.94,22.17,20.77,2578.36,763.08,0.36,0.23,Class 1: Gravelly sand to dense sand
2.26,2.65,7,4.43,0.14,19,42.94,22.17,20.77,210.99,89.15,0.14,0.46,Class 2: Sand to silty sand
2.26,1.61,26,1.61,1.62,19,42.94,11.38,31.56,49.5,30.84,1.66,0.8,Class 3: Silty sand to sandy silt
2.27,54.05,203.9,54.52,0.39,19,43.13,22.27,20.86,2611.62,784.46,0.39,0.24,Class 1: Gravelly sand to dense sand
2.27,1.62,26.4,1.62,1.63,19,43.13,11.48,31.65,49.72,31.06,1.68,0.8,Class 3: Silty sand to sandy silt
2.28,55.03,238.1,55.03,0.46,19,43.32,22.37,20.95,2624.38,815.43,0.46,0.26,Class 1: Gravelly sand to dense sand
2.28,2.85,6,4.56,0.13,19,43.32,22.37,20.95,215.4,90.62,0.13,0.45,Class 2: Sand to silty sand
2.28,1.81,38,1.8,2.11,19,43.32,11.58,31.74,55.31,34.66,2.16,0.81,Class 3: Silty sand to sandy silt
2.29,56.02,324.2,57.21,0.51,19,43.51,22.46,21.05,2716.4,860.83,0.52,0.27,Class 1: Gravelly sand to dense sand
2.29,2.08,41,2.07,1.98,19,43.51,11.67,31.84,63.67,40.01,2.02,0.78,Class 3: Silty sand to sandy silt
2.3,60.58,321.5,59.22,0.54,19,43.7,22.56,21.14,2799.53,896.44,0.54,0.27,Class 1: Gravelly sand to dense sand
2.3,2.95,5,4.71,0.12,19,43.7,22.56,21.14,220.53,92.34,0.12,0.44,Class 2: Sand to silty sand
2.3,2.38,38.5,2.37,1.63,19,43.7,11.77,31.93,72.83,45.9,1.66,0.75,Class 3: Silty sand to sandy silt
2.3,0.17,19.1,0.17,11.13,19,43.7,22.56,21.14,6.04,6.04,14.95,1,Class 6: Organic soil / peat
2.31,61.05,318.8,60.83,0.53,19,43.89,22.66,21.23,2863.16,914.35,0.53,0.27,Class 1: Gravelly sand to dense sand
2.31,2.64,36.1,2.64,1.37,19,43.89,11.87,32.02,80.96,51.17,1.39,0.71,Class 3: Silty sand to sandy silt
2.31,0.17,19,0.16,11.9,19,43.89,22.66,21.23,5.44,5.44,16.43,1,Class 6: Organic soil / peat
2.32,60.84,335.1,60.75,0.55,19,44.08,22.76,21.32,2847.29,918.35,0.55,0.27,Class 1: Gravelly sand to dense sand
2.32,3.05,6,4.8,0.12,19,44.08,22.76,21.32,223.22,93.54,0.12,0.44,Class 2: Sand to silty sand
2.32,2.61,33.5,2.6,1.29,19,44.08,11.97,32.11,79.64,50.48,1.31,0.71,Class 3: Silty sand to sandy silt
2.32,0.14,18.8,0.15,12.73,19,44.08,22.76,21.32,4.84,4.84,18.17,1,Class 6: Organic soil / peat
2.33,60.35,351.4,60.57,0.59,19,44.27,22.86,21.41,2826.56,926.68,0.59,0.28,Class 1: Gravelly sand to dense sand
2.33,2.52,30.7,2.51,1.22,19,44.27,12.07,32.2,76.64,48.72,1.24,0.71,Class 3: Silty sand to sandy silt
2.33,0.13,18.5,0.13,13.86,19,44.27,22.86,21.41,4.2,4.2,20.68,1,Class 6: Organic soil / peat
2.34,60.51,379.6,60.51,0.6,19,44.46,22.96,21.5,2811.64,928.62,0.6,0.29,Class 1: Gravelly sand to dense sand
2.34,3.1,6,4.92,0.12,19,44.46,22.96,21.5,226.64,95.19,0.12,0.44,Class 2: Sand to silty sand
2.34,2.46,29,2.45,1.18,19,44.46,12.16,32.3,74.61,47.56,1.2,0.71,Class 3: Silty sand to sandy silt
2.34,0.13,18.5,0.13,14.63,19,44.46,22.96,21.5,3.81,3.81,22.56,1,Class 6: Organic soil / peat
2.35,60.66,354.9,62.27,0.57,19,44.65,23.05,21.6,2881.15,942.45,0.57,0.28,Class 1: Gravelly sand to dense sand
2.35,2.37,27.3,2.36,1.16,19,44.65,12.26,32.39,71.46,45.69,1.18,0.71,Class 3: Silty sand to sandy silt
2.35,0.12,18.5,0.12,15.21,19,44.65,23.05,21.6,3.55,3.55,24.06,1,Class 6: Organic soil / peat
2.36,65.63,330.2,63.57,0.53,19,44.84,23.15,21.69,2929.2,945.23,0.53,0.27,Class 1: Gravelly sand to dense sand
2.36,3.25,6,5.05,0.12,19,44.84,23.15,21.69,230.78,96.85,0.12,0.44,Class 2: Sand to silty sand
2.36,2.46,21.1,2.45,0.86,19,44.84,12.36,32.48,74.15,47.54,0.88,0.68,Class 3: Silty sand to sandy silt
2.36,0.12,18.4,0.12,15.56,19,44.84,23.15,21.69,3.38,3.38,25.07,1,Class 6: Organic soil / peat
2.37,64.43,326.5,65.72,0.5,19,45.03,23.25,21.78,3015.14,960,0.5,0.26,Class 1: Gravelly sand to dense sand
2.37,2.55,21,2.55,0.82,19,45.03,12.46,32.57,76.82,49.39,0.84,0.67,Class 3: Silty sand to sandy silt
2.37,0.12,18.3,0.12,15.53,19,45.03,23.25,21.78,3.3,3.3,25.25,1,Class 6: Organic soil / peat
2.38,67.08,322.8,67.08,0.44,19,45.22,23.35,21.87,3065.03,953.89,0.44,0.24,Class 1: Gravelly sand to dense sand
2.38,3.4,6,5.18,0.12,19,45.22,23.35,21.87,234.84,98.5,0.12,0.43,Class 2: Sand to silty sand
2.38,2.71,22,2.71,0.81,19,45.22,12.56,32.66,81.46,52.52,0.83,0.66,Class 3: Silty sand to sandy silt
2.38,0.12,17.8,0.12,15.46,19,45.22,23.35,21.87,3.27,3.27,25.24,1,Class 6: Organic soil / peat
2.39,69.74,237.9,68.95,0.37,19,45.41,23.45,21.96,3137.03,944.01,0.37,0.21,Class 1: Gravelly sand to dense sand
2.39,0.12,18,0.12,15.16,19,45.41,23.45,21.96,3.28,3.28,24.71,1,Class 6: Organic soil / peat
2.4,70.02,205.3,70.59,0.3,19,45.6,23.54,22.06,3198.42,928.58,0.3,0.19,Class 1: Gravelly sand to dense sand
2.4,3.45,6,5.3,0.11,19,45.6,23.54,22.06,238.08,99.89,0.11,0.43,Class 2: Sand to silty sand
2.4,0.12,17.6,0.12,14.74,19,45.6,23.54,22.06,3.4,3.4,23.72,1,Class 6: Organic soil / peat
2.41,72.01,193.7,70.65,0.27,19,45.79,23.64,22.15,3187.83,913.8,0.27,0.18,Class 1: Gravelly sand to dense sand
2.41,0.13,17.7,0.12,14.17,19,45.79,23.64,22.15,3.56,3.56,22.4,1,Class 6: Organic soil / peat
2.42,69.92,182.1,69.92,0.26,19,45.98,23.74,22.24,3141.76,895.72,0.26,0.17,Class 1: Gravelly sand to dense sand
2.42,3.55,6,5.35,0.13,19,45.98,23.74,22.24,238.27,100.96,0.13,0.43,Class 2: Sand to silty sand
2.42,0.13,17.7,0.13,13.67,19,45.98,23.74,22.24,3.75,3.75,21.21,1,Class 6: Organic soil / peat
2.43,67.82,164.9,68.49,0.25,19,46.17,23.84,22.33,3064.66,873.48,0.25,0.17,Class 1: Gravelly sand to dense sand
2.43,0.13,17.7,0.13,13.43,19,46.17,23.84,22.33,3.83,3.83,20.67,1,Class 6: Organic soil / peat
2.44,67.71,161.2,67.71,0.24,19,46.36,23.94,22.42,3017.68,862.89,0.24,0.17,Class 1: Gravelly sand to dense sand
2.44,3.5,9,5.29,0.14,19,46.36,23.94,22.42,233.99,100.73,0.15,0.44,Class 2: Sand to silty sand
2.44,0.13,17.7,0.14,13.07,19,46.36,23.94,22.42,3.97,3.97,19.88,1,Class 6: Organic soil / peat
2.45,67.6,170.4,67.61,0.25,19,46.55,24.03,22.52,3000.75,865.54,0.25,0.17,Class 1: Gravelly sand to dense sand
2.45,0.14,17.7,0.14,12.84,19,46.55,24.03,22.52,4.05,4.05,19.4,1,Class 6: Organic soil / peat
2.46,67.51,179.6,67.38,0.29,19,46.74,24.13,22.61,2978.49,882.48,0.29,0.19,Class 1: Gravelly sand to dense sand
2.46,3.25,8,5.21,0.16,19,46.74,24.13,22.61,228.31,99.64,0.16,0.45,Class 2: Sand to silty sand
2.46,0.14,17.7,0.14,12.33,19,46.74,24.13,22.61,4.29,4.29,18.28,1,Class 6: Organic soil / peat
2.47,67.03,234.8,67.08,0.31,19,46.93,24.23,22.7,2953.19,890.94,0.31,0.2,Class 1: Gravelly sand to dense sand
2.47,0.15,17.8,0.15,11.93,19,46.93,24.23,22.7,4.58,4.58,17.31,1,Class 6: Organic soil / peat
2.48,66.7,217.3,66.49,0.36,19,47.12,24.33,22.79,2915.42,901.83,0.36,0.21,Class 1: Gravelly sand to dense sand
2.48,3.25,8,5.16,0.16,19,47.12,24.33,22.79,224.19,98.38,0.16,0.45,Class 2: Sand to silty sand
2.48,0.16,18.5,0.16,11.19,19,47.12,24.33,22.79,5.13,5.13,15.71,1,Class 6: Organic soil / peat
2.49,65.75,258.7,66.22,0.4,19,47.31,24.43,22.88,2891.77,916.11,0.4,0.23,Class 1: Gravelly sand to dense sand
2.5,66.21,312.7,66.21,0.45,19,47.5,24.53,22.98,2879.85,938.79,0.45,0.24,Class 1: Gravelly sand to dense sand
2.5,3.3,8,5.19,0.14,19,47.5,24.53,22.98,223.76,98.13,0.14,0.44,Class 2: Sand to silty sand
2.51,66.68,329.6,66.93,0.49,19,47.69,24.62,23.07,2899.7,962.42,0.49,0.25,Class 1: Gravelly sand to dense sand
2.52,67.91,346.6,68.24,0.51,19,47.88,24.72,23.16,2944.65,984,0.51,0.26,Class 1: Gravelly sand to dense sand
2.52,3.3,6,5.14,0.14,19,47.88,24.72,23.16,219.73,97.09,0.14,0.45,Class 2: Sand to silty sand
2.53,70.14,361.2,69.55,0.54,19,48.07,24.82,23.25,2989.42,1001,0.54,0.27,Class 1: Gravelly sand to dense sand
2.53,0.18,18.4,0.18,10.36,19,48.07,24.82,23.25,5.5,5.5,14.25,1,Class 6: Organic soil / peat
2.54,70.61,422.8,70.37,0.61,19,48.26,24.92,23.34,3012.54,1001,0.61,0.28,Class 1: Gravelly sand to dense sand
2.54,3.05,8,5.02,0.15,19,48.26,24.92,23.34,212.92,95.1,0.15,0.45,Class 2: Sand to silty sand
2.54,0.15,17.7,0.15,11.56,19,48.26,24.92,23.34,4.55,4.55,16.82,1,Class 6: Organic soil / peat
2.55,70.36,502.9,70.24,0.69,19,48.45,25.02,23.43,2995.35,1001,0.69,0.3,Class 1: Gravelly sand to dense sand
2.55,0.13,17.5,0.13,13.32,19,48.45,25.02,23.43,3.51,3.51,21.18,1,Class 6: Organic soil / peat
2.56,69.76,537.1,69.74,0.75,19,48.64,25.11,23.53,2962.32,1001,0.75,0.31,Class 1: Gravelly sand to dense sand
2.56,2.9,8,4.87,0.17,19,48.64,25.11,23.53,204.79,93.24,0.17,0.46,Class 2: Sand to silty sand
2.56,0.17,14.2,0.17,8.25,19,48.64,25.11,23.53,5.25,2.44,11.5,1,Class 6: Organic soil / peat
2.56,0.11,17,0.11,15.28,19,48.64,25.11,23.53,2.67,2.67,27.1,1,Class 6: Organic soil / peat
2.57,69.11,519.9,69.27,0.75,19,48.83,25.21,23.62,2931,1001,0.75,0.31,Class 1: Gravelly sand to dense sand
2.57,0.13,13.5,0.13,10.76,19,48.83,25.21,23.62,3.25,1.51,17.61,1,Class 6: Organic soil / peat
2.57,0.1,16.6,0.1,16.57,19,48.83,25.21,23.62,2.2,2.2,32.15,1,Class 6: Organic soil / peat
2.58,68.96,502.7,68.96,0.68,19,49.02,25.31,23.71,2906.2,1001,0.68,0.3,Class 1: Gravelly sand to dense sand
2.58,2.8,9,4.8,0.18,19,49.02,25.31,23.71,200.31,92.18,0.18,0.47,Class 2: Sand to silty sand
2.58,0.13,12.5,0.13,9.68,19,49.02,25.31,23.71,3.38,1.58,15.61,1,Class 6: Organic soil / peat
2.58,0.1,16.5,0.1,16.97,19,49.02,25.31,23.71,2.03,2.03,34.3,1,Class 6: Organic soil / peat
2.59,68.8,392.7,68.83,0.62,19,49.21,25.41,23.8,2889.61,1001,0.62,0.28,Class 1: Gravelly sand to dense sand
2.59,0.12,11.2,0.12,9.19,19,49.21,25.41,23.8,3.05,1.43,15.41,1,Class 6: Organic soil / peat
2.59,0.1,16.3,0.1,16.95,19,49.21,25.41,23.8,2,2,34.51,1,Class 6: Organic soil / peat
2.6,68.73,381.1,68.73,0.54,19,49.4,25.51,23.89,2874.58,994.31,0.54,0.27,Class 1: Gravelly sand to dense sand
2.6,2.8,9,4.81,0.19,19,49.4,25.51,23.89,199.38,92.33,0.19,0.47,Class 2: Sand to silty sand
2.6,0.12,10.8,0.12,8.89,19,49.4,25.51,23.89,3.02,1.42,14.98,1,Class 6: Organic soil / peat
2.6,0.1,16.4,0.1,16.82,19,49.4,25.51,23.89,1.98,1.98,34.37,1,Class 6: Organic soil / peat
2.61,68.68,330.4,69.16,0.5,19,49.59,25.6,23.99,2881.26,985.61,0.5,0.26,Class 1: Gravelly sand to dense sand
2.61,0.12,10.4,0.12,8.55,19,49.59,25.6,23.99,3.01,1.42,14.42,1,Class 6: Organic soil / peat
2.61,0.1,16.1,0.1,16.79,19,49.59,25.6,23.99,1.92,1.92,34.84,1,Class 6: Organic soil / peat
2.62,70.08,324.5,70.08,0.46,19,49.78,25.7,24.08,2908.39,979.12,0.46,0.24,Class 1: Gravelly sand to dense sand
2.62,2.9,9,4.93,0.18,19,49.78,25.7,24.08,202.62,93.74,0.18,0.46,Class 2: Sand to silty sand
2.62,0.12,9.6,0.12,7.88,19,49.78,25.7,24.08,3,1.42,13.31,1,Class 6: Organic soil / peat
2.62,0.09,15.7,0.1,16.42,19,49.78,25.7,24.08,1.92,1.92,34.11,1,Class 6: Organic soil / peat
2.63,71.48,301.7,71.41,0.42,19,49.97,25.8,24.17,2952.39,980.25,0.42,0.23,Class 1: Gravelly sand to dense sand
2.63,0.16,8.9,0.16,5.52,19,49.97,25.8,24.17,4.61,2.2,7.99,1,Class 6: Organic soil / peat
2.63,0.1,15.5,0.09,16.67,19,49.97,25.8,24.17,1.76,1.76,36.3,1,Class 6: Organic soil / peat
2.64,72.67,273.6,71.64,0.4,19,50.16,25.9,24.26,2950.59,972.93,0.4,0.22,Class 1: Gravelly sand to dense sand
2.64,3.1,9,5.09,0.18,19,50.16,25.9,24.26,207.87,95.86,0.18,0.46,Class 2: Sand to silty sand
2.64,0.18,7.9,0.18,4.41,19,50.16,25.9,24.26,5.32,2.55,6.12,1,Class 6: Organic soil / peat
2.64,0.09,15,0.09,17.16,19,50.16,25.9,24.26,1.54,1.54,40.15,1,Class 6: Organic soil / peat
2.65,70.76,281.6,70.76,0.38,19,50.35,26,24.35,2903.51,951.09,0.38,0.22,Class 1: Gravelly sand to dense sand
2.65,0.08,14.6,0.08,17.85,19,50.35,26,24.35,1.28,1.28,46.61,1,Class 6: Organic soil / peat
2.66,68.85,241.6,69.37,0.37,19,50.54,26.09,24.45,2835.67,931.06,0.37,0.22,Class 1: Gravelly sand to dense sand
2.66,3.25,9,5.28,0.16,19,50.54,26.09,24.45,213.72,97.99,0.17,0.45,Class 2: Sand to silty sand
2.66,0.16,7.1,0.16,4.4,19,50.54,26.09,24.45,4.53,2.19,6.41,1,Class 6: Organic soil / peat
2.66,0.08,14.1,0.08,18.44,19,50.54,26.09,24.45,1.08,1.08,53.88,1,Class 6: Organic soil / peat
2.67,68.49,245.4,68.72,0.36,19,50.73,26.19,24.54,2798.64,917.2,0.36,0.21,Class 1: Gravelly sand to dense sand
2.67,0.14,6.9,0.14,4.81,19,50.73,26.19,24.54,3.78,1.83,7.45,1,Class 6: Organic soil / peat
2.67,0.07,13.8,0.07,19.29,19,50.73,26.19,24.54,0.87,0.87,65.15,1,Class 6: Organic soil / peat
2.68,68.82,249.2,68.82,0.41,19,50.92,26.29,24.63,2792.08,942.09,0.41,0.23,Class 1: Gravelly sand to dense sand
2.68,3.4,8,5.41,0.15,19,50.92,26.29,24.63,217.46,99.4,0.16,0.45,Class 2: Sand to silty sand
2.68,0.12,6.7,0.12,5.66,19,50.92,26.29,24.63,2.74,1.33,9.94,1,Class 6: Organic soil / peat
2.68,0.06,13.8,0.06,21.16,19,50.92,26.29,24.63,0.57,0.57,98.24,1,Class 6: Organic soil / peat
2.69,69.14,358.8,69.86,0.47,19,51.11,26.39,24.72,2823.68,978.44,0.47,0.25,Class 1: Gravelly sand to dense sand
2.69,0.12,6.7,0.12,5.81,19,51.11,26.39,24.72,2.6,1.27,10.42,1,Class 6: Organic soil / peat
2.69,0.06,13.6,0.06,22.79,19,51.11,26.39,24.72,0.36,0.36,154.31,1,Class 6: Organic soil / peat
2.7,71.61,384.8,70.94,0.51,19,51.3,26.49,24.81,2856.85,1001,0.51,0.26,Class 1: Gravelly sand to dense sand
2.7,3.45,8,5.51,0.15,19,51.3,26.49,24.81,219.79,100.32,0.15,0.44,Class 2: Sand to silty sand
2.7,0.11,6.6,0.11,5.74,19,51.3,26.49,24.81,2.56,1.26,10.38,1,Class 6: Organic soil / peat
2.7,0.06,13.6,0.06,23.65,19,51.3,26.49,24.81,0.25,0.25,219.35,1,Class 6: Organic soil / peat
2.71,72.07,340.2,73.16,0.48,19,51.49,26.59,24.9,2935.31,1001,0.48,0.25,Class 1: Gravelly sand to dense sand
2.71,0.12,6,0.12,5.07,19,51.49,26.59,24.9,2.69,1.32,8.97,1,Class 6: Organic soil / peat
2.71,0.06,13.6,0.06,23.59,19,51.49,26.59,24.9,0.24,0.24,225.73,1,Class 6: Organic soil / peat
2.72,75.79,323.9,75.55,0.44,19,51.68,26.68,25,3020.5,1001,0.44,0.23,Class 1: Gravelly sand to dense sand
2.72,3.5,8,5.59,0.14,19,51.68,26.68,25,221.43,101.21,0.14,0.44,Class 2: Sand to silty sand
2.72,0.12,5.8,0.12,4.76,19,51.68,26.68,25,2.81,1.39,8.26,1,Class 6: Organic soil / peat
2.72,0.06,13.5,0.06,22.54,19,51.68,26.68,25,0.33,0.33,162.01,1,Class 6: Organic soil / peat
2.73,78.81,331.5,78.26,0.42,19,51.87,26.78,25.09,3117.45,1001,0.42,0.23,Class 1: Gravelly sand to dense sand
2.73,0.15,5.8,0.15,3.76,19,51.87,26.78,25.09,4.08,2.02,5.67,1,Class 6: Organic soil / peat
2.73,0.06,13.5,0.06,20.8,19,51.87,26.78,25.09,0.52,0.52,103.61,1,Class 6: Organic soil / peat
2.74,80.2,339.1,79.2,0.43,19,52.06,26.88,25.18,3143.04,1001,0.43,0.23,Class 1: Gravelly sand to dense sand
2.74,3.6,8,5.64,0.14,19,52.06,26.88,25.18,221.72,101.43,0.14,0.44,Class 2: Sand to silty sand
2.74,0.15,5.8,0.15,3.76,19,52.06,26.88,25.18,4.06,2.02,5.68,1,Class 6: Organic soil / peat
2.74,0.07,13.5,0.07,18.73,19,52.06,26.88,25.18,0.79,0.79,67.48,1,Class 6: Organic soil / peat
2.75,78.58,349.7,78.88,0.44,19,52.25,26.98,25.27,3119.31,1001,0.44,0.23,Class 1: Gravelly sand to dense sand
2.75,0.15,5.8,0.15,3.75,19,52.25,26.98,25.27,4.05,2.02,5.66,1,Class 6: Organic soil / peat
2.75,0.08,13.5,0.08,16.78,19,52.25,26.98,25.27,1.12,1.12,47.9,1,Class 6: Organic soil / peat
2.76,77.87,348.6,77.42,0.46,19,52.44,27.08,25.36,3050.05,1001,0.46,0.24,Class 1: Gravelly sand to dense sand
2.76,3.55,7,5.63,0.13,19,52.44,27.08,25.36,220.03,100.95,0.13,0.44,Class 2: Sand to silty sand
2.76,0.16,5.9,0.16,3.8,19,52.44,27.08,25.36,4.05,2.03,5.74,1,Class 6: Organic soil / peat
2.76,0.09,13.5,0.09,15.59,19,52.44,27.08,25.36,1.34,1.34,39.65,1,Class 6: Organic soil / peat
2.77,75.79,378.9,76.2,0.5,19,52.63,27.17,25.46,2991.27,1001,0.5,0.25,Class 1: Gravelly sand to dense sand
2.77,0.16,6,0.16,3.69,19,52.63,27.17,25.46,4.32,2.17,5.46,1,Class 6: Organic soil / peat
2.77,0.09,13.4,0.09,14.54,19,52.63,27.17,25.46,1.56,1.56,33.78,1,Class 6: Organic soil / peat
2.78,74.94,405.5,74.93,0.55,19,52.82,27.27,25.55,2930.99,1001,0.55,0.26,Class 1: Gravelly sand to dense sand
2.78,3.45,7,5.62,0.12,19,52.82,27.27,25.55,217.71,100.24,0.13,0.44,Class 2: Sand to silty sand
2.78,0.18,6.2,0.18,3.46,19,52.82,27.27,25.55,4.95,2.5,4.9,1,Class 6: Organic soil / peat
2.78,0.1,13.4,0.1,14.28,19,52.82,27.27,25.55,1.69,1.69,31.75,1,Class 6: Organic soil / peat
2.79,74.08,446.8,74.34,0.59,19,53.01,27.37,25.64,2897.42,1001,0.59,0.28,Class 1: Gravelly sand to dense sand
2.79,0.1,14.3,0.1,14.37,19,53.01,27.37,25.64,1.72,1.72,31.63,1,Class 6: Organic soil / peat
2.8,74.01,464.8,74.11,0.57,19,53.2,27.47,25.73,2877.97,1001,0.57,0.27,Class 1: Gravelly sand to dense sand
2.8,3.5,7,5.51,0.15,19,53.2,27.47,25.73,212.19,99.13,0.15,0.44,Class 2: Sand to silty sand
2.8,0.09,14.2,0.09,15.41,19,53.2,27.47,25.73,1.52,1.52,36.34,1,Class 6: Organic soil / peat
2.81,74.23,347,74.23,0.51,19,53.39,27.57,25.82,2872.58,1001,0.51,0.26,Class 1: Gravelly sand to dense sand
2.81,0.08,14.2,0.08,16.99,19,53.39,27.57,25.82,1.09,1.09,49.1,1,Class 6: Organic soil / peat
2.82,74.46,327.9,75.01,0.44,19,53.58,27.66,25.92,2892.34,1001,0.44,0.23,Class 1: Gravelly sand to dense sand
2.82,3.2,10,5.39,0.16,19,53.58,27.66,25.92,206.11,97.59,0.16,0.45,Class 2: Sand to silty sand
2.82,0.07,13.2,0.07,18.91,19,53.58,27.66,25.92,0.67,0.67,77.52,1,Class 6: Organic soil / peat
